
Words information for Health topic: 


Word  ,  Topic  ,  Total_percentage_abundance 
-------------------------------------------------------------------------------
  Health  2.951987 
declared  Health  0.022973 
defects  Health  0.022973 
definitely  Health  0.022973 
dental  Health  0.022973 
dentist  Health  0.022973 
dentistry  Health  0.022973 
department  Health  0.022973 
designed  Health  0.022973 
despite  Health  0.022973 
detected  Health  0.022973 
developing  Health  0.022973 
diagnosis  Health  0.022973 
diagnostic  Health  0.022973 
diet  Health  0.022973 
discovery  Health  0.022973 
dispute  Health  0.022973 
dollar  Health  0.022973 
donates  Health  0.022973 
dose  Health  0.022973 
doubt  Health  0.022973 
drink  Health  0.022973 
duration  Health  0.022973 
dynamic  Health  0.022973 
earlier  Health  0.022973 
edge  Health  0.022973 
education  Health  0.022973 
educational  Health  0.022973 
efficacy  Health  0.022973 
efforts  Health  0.022973 
eliminate  Health  0.022973 
embryo  Health  0.022973 
embryonic  Health  0.022973 
emphasized  Health  0.022973 
england  Health  0.022973 
entirely  Health  0.022973 
essential  Health  0.022973 
established  Health  0.022973 
european  Health  0.022973 
eventually  Health  0.022973 
exempted  Health  0.022973 
expected  Health  0.022973 
experienced  Health  0.022973 
extend  Health  0.022973 
extremely  Health  0.022973 
failure  Health  0.022973 
false  Health  0.022973 
fetus  Health  0.022973 
fewer  Health  0.022973 
final  Health  0.022973 
fix  Health  0.022973 
flossing  Health  0.022973 
flow  Health  0.022973 
followed  Health  0.022973 
forget  Health  0.022973 
francisco  Health  0.022973 
fresh  Health  0.022973 
fundamentally  Health  0.022973 
funds  Health  0.022973 
gaps  Health  0.022973 
garlic  Health  0.022973 
generated  Health  0.022973 
genetics  Health  0.022973 
george  Health  0.022973 
german  Health  0.022973 
germany  Health  0.022973 
government  Health  0.022973 
grown  Health  0.022973 
gums  Health  0.022973 
gynecology  Health  0.022973 
halitosis  Health  0.022973 
haven  Health  0.022973 
hepatitis  Health  0.022973 
hiv  Health  0.022973 
hot  Health  0.022973 
humans  Health  0.022973 
identified  Health  0.022973 
identify  Health  0.022973 
immune  Health  0.022973 
immunization  Health  0.022973 
immunosuppression  Health  0.022973 
impart  Health  0.022973 
implanted  Health  0.022973 
implications  Health  0.022973 
inaccurate  Health  0.022973 
inc  Health  0.022973 
includes  Health  0.022973 
incorrect  Health  0.022973 
india  Health  0.022973 
indian  Health  0.022973 
infectious  Health  0.022973 
insights  Health  0.022973 
installment  Health  0.022973 
instead  Health  0.022973 
institute  Health  0.022973 
intent  Health  0.022973 
introduced  Health  0.022973 
investigator  Health  0.022973 
ischemic  Health  0.022973 
issue  Health  0.022973 
japan  Health  0.022973 
kidney  Health  0.022973 
kyle  Health  0.022973 
leaving  Health  0.022973 
legalized  Health  0.022973 
lifted  Health  0.022973 
light  Health  0.022973 
lives  Health  0.022973 
lower  Health  0.022973 
match  Health  0.022973 
matching  Health  0.022973 
medications  Health  0.022973 
meds  Health  0.022973 
merited  Health  0.022973 
method  Health  0.022973 
methyl  Health  0.022973 
mice  Health  0.022973 
mimic  Health  0.022973 
mint  Health  0.022973 
missing  Health  0.022973 
mitigate  Health  0.022973 
models  Health  0.022973 
modified  Health  0.022973 
molecules  Health  0.022973 
mom  Health  0.022973 
mortality  Health  0.022973 
mouthwash  Health  0.022973 
